IBGE,municipio,CRS,regiao_saude,macrorregiao,COREDES
430003,Aceguá,7,R 22 - Pampa,Sul,Campanha
430005,Água Santa,6,R 18 - Região das Araucárias,Norte,Nordeste
430010,Agudo,4,R 01 - Verdes Campos,Centro-Oeste,Central
430020,Ajuricaba,17,R 13 - Região da Diversidade,Missioneira,Noroeste Colonial
430030,Alecrim,14,R 14 - Fronteira Noroeste,Missioneira,Fronteira Noroeste
430040,Alegrete,10,R 03 - Fronteira Oeste,Centro-Oeste,Fronteira Oeste
430045,Alegria,14,R 14 - Fronteira Noroeste,Missioneira,Fronteira Noroeste
430047,Almirante Tamandaré do Sul,6,R 17 - Região do Planalto,Norte,Produção
430050,Alpestre,19,R 15 - Caminho das Águas,Norte,Médio Alto Uruguai
430055,Alto Alegre,6,R 19 - Região do Botucaraí,Norte,Alto da Serra do Botucaraí
430057,Alto Feliz,5,R 26 - Uva e Vale,Serra,Vale do Caí
430060,Alvorada,2,R 10 - CapitalVale do Gravataí,Metropolitana,Metropolitano do Delta do Jacuí
430063,Amaral Ferrador,3,R 21 - Região Sul,Sul,Sul
430064,Ametista do Sul,19,R 15 - Caminho das Águas,Norte,Médio Alto Uruguai
430066,André da Rocha,6,R 18 - Região das Araucárias,Norte,Campos de Cima da Serra
430070,Anta Gorda,16,R 29 - Vales e Montanhas,Vales,Vale do Taquari
430080,Antônio Prado,5,R 26 - Uva e Vale,Serra,Serra
430085,Arambaré,2,R 09 - Carbonífera/Costa Doce,Metropolitana,Centro Sul
430087,Araricá,1,R 07 - Vale dos Sinos,Metropolitana,Vale do Rio dos Sinos
430090,Aratiba,11,R 16 - Alto Uruguai Gaúcho,Norte,Norte
430100,Arroio do Meio,16,R 29 - Vales e Montanhas,Vales,Vale do Taquari
430107,Arroio do Padre,3,R 21 - Região Sul,Sul,Sul
430105,Arroio do Sal,18,R 04 - Belas Praias,Metropolitana,Litoral
430120,Arroio do Tigre,8,R 27 - Jacuí Centro,Vales,Vale do Rio Pardo
430110,Arroio dos Ratos,2,R 09 - Carbonífera/Costa Doce,Metropolitana,Centro Sul
430130,Arroio Grande,3,R 21 - Região Sul,Sul,Sul
430140,Arvorezinha,6,R 19 - Região do Botucaraí,Norte,Vale do Taquari
430150,Augusto Pestana,17,R 13 - Região da Diversidade,Missioneira,Noroeste Colonial
430155,Áurea,11,R 16 - Alto Uruguai Gaúcho,Norte,Norte
430160,Bagé,7,R 22 - Pampa,Sul,Campanha
430163,Balneário Pinhal,18,R 05 - Bons Ventos,Metropolitana,Litoral
430165,Barão,1,R 08 - Vale do Caí Metropolitana,Metropolitana,Vale do Caí
430170,Barão de Cotegipe,11,R 16 - Alto Uruguai Gaúcho,Norte,Norte
430175,Barão do Triunfo,2,R 09 - Carbonífera/Costa Doce,Metropolitana,Centro Sul
430185,Barra do Guarita,19,R 15 - Caminho das Águas,Norte,Celeiro
430187,Barra do Quaraí,10,R 03 - Fronteira Oeste,Centro-Oeste,Fronteira Oeste
430190,Barra do Ribeiro,2,R 09 - Carbonífera/Costa Doce,Metropolitana,Centro Sul
430192,Barra do Rio Azul,11,R 16 - Alto Uruguai Gaúcho,Norte,Norte
430195,Barra Funda,15,R 20 - Rota da Produção,Norte,Rio da Várzea
430180,Barracão,6,R 18 - Região das Araucárias,Norte,Nordeste
430200,Barros Cassal,6,R 19 - Região do Botucaraí,Norte,Alto da Serra do Botucaraí
430205,Benjamin Constant do Sul,11,R 16 - Alto Uruguai Gaúcho,Norte,Norte
430210,Bento Gonçalves,5,R 25 - Vinhedos e Basalto,Serra,Serra
430215,Boa Vista das Missões,15,R 20 - Rota da Produção,Norte,Rio da Várzea
430220,Boa Vista do Buricá,14,R 14 - Fronteira Noroeste,Missioneira,Fronteira Noroeste
430222,Boa Vista do Cadeado,9,R 12 - Portal das Missões,Missioneira,Alto Jacuí
430223,Boa Vista do Incra,9,R 12 - Portal das Missões,Missioneira,Alto Jacuí
430225,Boa Vista do Sul,5,R 25 - Vinhedos e Basalto,Serra,Serra
430230,Bom Jesus,5,R 24 - Campos de Cima da Serra,Serra,Campos de Cima da Serra
430235,Bom Princípio,5,R 26 - Uva e Vale,Serra,Vale do Caí
430237,Bom Progresso,19,R 15 - Caminho das Águas,Norte,Celeiro
430240,Bom Retiro do Sul,16,R 30 - Vale da Luz,Vales,Vale do Taquari
430245,Boqueirão do Leão,16,R 29 - Vales e Montanhas,Vales,Vale do Rio Pardo
