"NOMEMUN","numero_nascidos_vivos"
"Porto Alegre",17579
"Caxias do Sul",5823
"Canoas",4919
"Pelotas",4229
"Santa Maria",3635
"Gravataí",3415
"Novo Hamburgo",3141
"Viamão",3038
"Alvorada",2995
"São Leopoldo",2890
"Passo Fundo",2887
"Rio Grande",2710
"Cachoeirinha",1778
"Sapucaia do Sul",1749
"Uruguaiana",1717
"Santa Cruz do Sul",1707
"Bagé",1591
"Bento Gonçalves",1528
"Erechim",1348
"Lajeado",1263
"Guaíba",1243
"Sapiranga",1198
"Ijuí",1179
"Esteio",1129
"Sant'Ana do Livramento",1124
"Santa Rosa",1037
"Santo Ângelo",1036
"Cachoeira do Sul",968
"Vacaria",938
"Alegrete",934
"Capão da Canoa",931
"Farroupilha",916
"Montenegro",910
"Campo Bom",879
"Camaquã",857
"Cruz Alta",851
"Venâncio Aires",814
"Parobé",812
"Tramandaí",806
"São Gabriel",795
"Carazinho",790
"São Borja",763
"Canela",696
"Taquara",693
"Osório",672
"Estância Velha",634
"Torres",609
"Santiago",592
"Gramado",589
"Marau",581
"Panambi",567
"Itaqui",563
"Canguçu",553
"Eldorado do Sul",544
"Rosário do Sul",497
"Palmeira das Missões",492
"São Lourenço do Sul",477
"Santo Antônio da Patrulha",476
"Igrejinha",473
"Frederico Westphalen",467
"Dom Pedrito",451
"Flores da Cunha",449
"Teutônia",440
"São Luiz Gonzaga",437
"Estrela",427
"Caçapava do Sul",417
"Portão",416
"Garibaldi",410
"Dois Irmãos",404
"Santa Vitória do Palmar",397
"Nova Santa Rita",386
"Tapejara",385
"Carlos Barbosa",381
"Rio Pardo",371
"Capão do Leão",370
"Lagoa Vermelha",368
"Soledade",367
"Charqueadas",362
"Triunfo",357
"Candelária",343
"Nova Prata",340
"São Sebastião do Caí",328
"Imbé",325
"Três Passos",318
"Guaporé",315
"Sarandi",309
"Três Coroas",302
"Três de Maio",297
"Jaguarão",294
"Vera Cruz",294
"Encruzilhada do Sul",292
"Tupanciretã",281
"Taquari",278
"Quaraí",273
"Rolante",272
"Veranópolis",269
"Arroio do Meio",268
"Butiá",265
"Encantado",262
"São José do Norte",262
"Xangri-lá",258
"São Jerônimo",257
"Nova Petrópolis",256
"São Sepé",255
"Ibirubá",253
"Ivoti",253
"São Francisco de Paula",249
"Júlio de Castilhos",232
"Nova Hartz",231
"Arroio Grande",227
"Tenente Portela",220
"Não-Me-Toque",219
"Horizontina",217
"São Marcos",213
"Nonoai",204
"Cidreira",195
"Sobradinho",195
"Getúlio Vargas",188
"Santo Cristo",188
"Sananduva",187
"Redentora",183
"Espumoso",177
"Giruá",176
"Serafina Corrêa",176
"Agudo",175
"Piratini",175
"Santo Augusto",173
"Seberi",172
"Bom Jesus",170
"Restinga Seca",167
"Cerro Largo",166
"Feliz",165
"Arroio dos Ratos",164
"Bom Princípio",158
"Bom Retiro do Sul",154
"Tapes",153
"Barra do Ribeiro",152
"São Francisco de Assis",151
"Balneário Pinhal",149
"Candiota",149
"Dom Feliciano",149
"Planalto",145
"Capela de Santana",143
"São Pedro do Sul",143
"Crissiumal",139
"Três Cachoeiras",136
"Salto do Jacuí",135
"Terra de Areia",135
"Arroio do Sal",131
"Cerro Grande do Sul",130
"Palmares do Sul",130
"Arroio do Tigre",127
"Entre-Ijuís",127
"Constantina",126
"Cruzeiro do Sul",126
"Ronda Alta",124
"Antônio Prado",122
"Santo Antônio das Missões",122
"Arvorezinha",120
"Roca Sales",120
"Pantano Grande",118
"Tapera",118
"Porto Xavier",116
"Barros Cassal",115
"Fontoura Xavier",111
"Mostardas",108
"Coronel Bicaco",105
"Minas do Leão",105
"Pinheiro Machado",101
"Araricá",100
"Iraí",99
"Chapada",98
"Cristal",98
"Salvador do Sul",97
"Vale do Sol",96
