"CODMUNRES","NOMEMUN","ANO_NASC","numero_nascidos_vivos"
430003,"Aceguá",2010,58
430003,"Aceguá",2011,57
430003,"Aceguá",2012,81
430003,"Aceguá",2013,57
430003,"Aceguá",2014,73
430003,"Aceguá",2015,55
430003,"Aceguá",2016,49
430003,"Aceguá",2017,52
430003,"Aceguá",2018,71
430003,"Aceguá",2019,56
430005,"Água Santa",2010,35
430005,"Água Santa",2011,36
430005,"Água Santa",2012,48
430005,"Água Santa",2013,44
430005,"Água Santa",2014,48
430005,"Água Santa",2015,36
430005,"Água Santa",2016,43
430005,"Água Santa",2017,45
430005,"Água Santa",2018,36
430005,"Água Santa",2019,51
430010,"Agudo",2010,152
430010,"Agudo",2011,148
430010,"Agudo",2012,182
430010,"Agudo",2013,180
430010,"Agudo",2014,162
430010,"Agudo",2015,161
430010,"Agudo",2016,165
430010,"Agudo",2017,150
430010,"Agudo",2018,175
430010,"Agudo",2019,164
430020,"Ajuricaba",2010,70
430020,"Ajuricaba",2011,85
430020,"Ajuricaba",2012,70
430020,"Ajuricaba",2013,81
430020,"Ajuricaba",2014,61
430020,"Ajuricaba",2015,68
430020,"Ajuricaba",2016,78
430020,"Ajuricaba",2017,60
430020,"Ajuricaba",2018,88
430020,"Ajuricaba",2019,59
430030,"Alecrim",2010,64
430030,"Alecrim",2011,60
430030,"Alecrim",2012,67
430030,"Alecrim",2013,52
430030,"Alecrim",2014,59
430030,"Alecrim",2015,48
430030,"Alecrim",2016,57
430030,"Alecrim",2017,59
430030,"Alecrim",2018,39
430030,"Alecrim",2019,49
430040,"Alegrete",2010,937
430040,"Alegrete",2011,922
430040,"Alegrete",2012,871
430040,"Alegrete",2013,935
430040,"Alegrete",2014,925
430040,"Alegrete",2015,954
430040,"Alegrete",2016,858
430040,"Alegrete",2017,888
430040,"Alegrete",2018,934
430040,"Alegrete",2019,827
430045,"Alegria",2010,22
430045,"Alegria",2011,41
430045,"Alegria",2012,33
430045,"Alegria",2013,34
430045,"Alegria",2014,37
430045,"Alegria",2015,31
430045,"Alegria",2016,38
430045,"Alegria",2017,38
430045,"Alegria",2018,43
430045,"Alegria",2019,40
430047,"Almirante Tamandaré do Sul",2010,16
430047,"Almirante Tamandaré do Sul",2011,11
430047,"Almirante Tamandaré do Sul",2012,21
430047,"Almirante Tamandaré do Sul",2013,24
430047,"Almirante Tamandaré do Sul",2014,22
430047,"Almirante Tamandaré do Sul",2015,24
430047,"Almirante Tamandaré do Sul",2016,22
430047,"Almirante Tamandaré do Sul",2017,25
430047,"Almirante Tamandaré do Sul",2018,16
430047,"Almirante Tamandaré do Sul",2019,17
430050,"Alpestre",2010,80
430050,"Alpestre",2011,67
430050,"Alpestre",2012,70
430050,"Alpestre",2013,61
430050,"Alpestre",2014,72
430050,"Alpestre",2015,71
430050,"Alpestre",2016,72
430050,"Alpestre",2017,70
430050,"Alpestre",2018,73
430050,"Alpestre",2019,50
430055,"Alto Alegre",2010,12
430055,"Alto Alegre",2011,13
430055,"Alto Alegre",2012,21
430055,"Alto Alegre",2013,21
430055,"Alto Alegre",2014,14
430055,"Alto Alegre",2015,18
430055,"Alto Alegre",2016,15
430055,"Alto Alegre",2017,13
430055,"Alto Alegre",2018,15
430055,"Alto Alegre",2019,15
430057,"Alto Feliz",2010,23
430057,"Alto Feliz",2011,18
430057,"Alto Feliz",2012,19
430057,"Alto Feliz",2013,21
430057,"Alto Feliz",2014,26
430057,"Alto Feliz",2015,32
430057,"Alto Feliz",2016,32
430057,"Alto Feliz",2017,26
430057,"Alto Feliz",2018,35
430057,"Alto Feliz",2019,16
430060,"Alvorada",2010,3054
430060,"Alvorada",2011,3296
430060,"Alvorada",2012,3416
430060,"Alvorada",2013,3352
430060,"Alvorada",2014,3419
430060,"Alvorada",2015,3505
430060,"Alvorada",2016,3330
430060,"Alvorada",2017,3263
