IBGE,IBGE_meso,Nome_Mesoregiao
430003,4306,Sudoeste Rio-grandense
430005,4301,Noroeste Rio-grandense
430010,4303,Centro Ocidental Rio-grandense
430020,4301,Noroeste Rio-grandense
430030,4301,Noroeste Rio-grandense
430040,4306,Sudoeste Rio-grandense
430045,4301,Noroeste Rio-grandense
430047,4301,Noroeste Rio-grandense
430050,4301,Noroeste Rio-grandense
430055,4301,Noroeste Rio-grandense
430057,4305,Metropolitana de Porto Alegre
430060,4305,Metropolitana de Porto Alegre
430063,4307,Sudeste Rio-grandense
430064,4301,Noroeste Rio-grandense
430066,4302,Nordeste Rio-grandense
430070,4302,Nordeste Rio-grandense
430080,4302,Nordeste Rio-grandense
430085,4305,Metropolitana de Porto Alegre
430087,4305,Metropolitana de Porto Alegre
430090,4301,Noroeste Rio-grandense
430100,4304,Centro Oriental Rio-grandense
430105,4305,Metropolitana de Porto Alegre
430107,4307,Sudeste Rio-grandense
430110,4305,Metropolitana de Porto Alegre
430120,4304,Centro Oriental Rio-grandense
430130,4307,Sudeste Rio-grandense
430140,4302,Nordeste Rio-grandense
430150,4301,Noroeste Rio-grandense
430155,4301,Noroeste Rio-grandense
430160,4306,Sudoeste Rio-grandense
430163,4305,Metropolitana de Porto Alegre
430165,4305,Metropolitana de Porto Alegre
430170,4301,Noroeste Rio-grandense
430175,4305,Metropolitana de Porto Alegre
430180,4301,Noroeste Rio-grandense
430185,4301,Noroeste Rio-grandense
430187,4306,Sudoeste Rio-grandense
430190,4305,Metropolitana de Porto Alegre
430192,4301,Noroeste Rio-grandense
430195,4301,Noroeste Rio-grandense
430200,4301,Noroeste Rio-grandense
430205,4301,Noroeste Rio-grandense
430210,4302,Nordeste Rio-grandense
430215,4301,Noroeste Rio-grandense
430220,4301,Noroeste Rio-grandense
430222,4301,Noroeste Rio-grandense
430223,4301,Noroeste Rio-grandense
430225,4302,Nordeste Rio-grandense
430230,4302,Nordeste Rio-grandense
430235,4305,Metropolitana de Porto Alegre
430237,4301,Noroeste Rio-grandense
430240,4304,Centro Oriental Rio-grandense
430245,4304,Centro Oriental Rio-grandense
430250,4301,Noroeste Rio-grandense
430258,4301,Noroeste Rio-grandense
430260,4301,Noroeste Rio-grandense
430265,4305,Metropolitana de Porto Alegre
430270,4305,Metropolitana de Porto Alegre
430280,4307,Sudeste Rio-grandense
430290,4303,Centro Ocidental Rio-grandense
430300,4304,Centro Oriental Rio-grandense
430310,4305,Metropolitana de Porto Alegre
430320,4301,Noroeste Rio-grandense
430330,4301,Noroeste Rio-grandense
430340,4301,Noroeste Rio-grandense
430350,4305,Metropolitana de Porto Alegre
430355,4301,Noroeste Rio-grandense
430360,4302,Nordeste Rio-grandense
430367,4302,Nordeste Rio-grandense
430370,4301,Noroeste Rio-grandense
430380,4301,Noroeste Rio-grandense
430390,4305,Metropolitana de Porto Alegre
430400,4301,Noroeste Rio-grandense
430410,4301,Noroeste Rio-grandense
430420,4304,Centro Oriental Rio-grandense
430430,4301,Noroeste Rio-grandense
430435,4307,Sudeste Rio-grandense
